temp,degree_centralization,betweenness_centralization,closeness_centralization,eigenvector_centralization,global_clustcoeff,assortativity,diameter,avg.degree,modularity,density,avg.path.length,vertices,edges,noofreviews.commentedon,no.of.comments,no.of.approvals,avgnoofcomments.perperson,avgnoofapprovals.perperson,avgclosuretime.perreview,noncumul.noofreviews.commentedon,noncumul.avgclosuretime.perreview,noncumul.totalclosuretime.acrossallreviews,non.culmavclosuretime(days)
T01-nw,0.291694892,0.146383981,0.165207204,0.765318918,0.366634841,-0.104887298,8,9.704918033,0.187042036,0.080205934,2.531404959,122,592,1229,3201,928,26.45454545,7.669421488,977.962679215,1229,84495975.4841,1145529,977.962679215
T02-nw,0.325059754,0.098306095,0.103586807,0.777653878,0.397343958,-0.105048357,8,12.21621622,0.18395932,0.083103512,2.439395371,148,904,2841,7406,2142,50.04054054,14.47297297,960.186593609,1659,81877040.4093,1363103,947.650930663
T03-nw,0.34012987,0.113495515,0.390779614,0.781892362,0.405037534,-0.162934006,8,13.47727273,0.174688041,0.077012987,2.447207792,176,1186,4586,11951,3423,67.90340909,19.44886364,944.546906759,1810,79446160.2768,1398330,919.515743944
T04-nw,0.339680353,0.136343333,0.100006845,0.778538669,0.410122238,-0.18288886,12,14.46073298,0.173873889,0.076109121,2.402172689,191,1381,5862,15433,4383,80.80104712,22.94764398,933.066697258,1309,77116000.285,964865,892.546299594
T05-nw,0.355393412,0.125070604,0.177707745,0.791416466,0.406676925,-0.23104875,10,15.23502304,0.122135815,0.070532514,2.394573643,217,1653,7309,19884,5589,91.63133641,25.75576037,917.778830483,1504,74044797.4129,1021883,856.999970057
T06-nw,0.360756932,0.133220678,0.178036187,0.79434961,0.403453417,-0.243311679,8,16.33606557,0.15243178,0.067226607,2.373941435,244,1993,9185,25591,7153,104.8811475,29.31557377,899.224637064,1944,71593047.3647,1208585,828.623233388
T07-nw,0.345057034,0.118551171,0.099270023,0.794332051,0.409518502,-0.234007795,8,17.25,0.178976857,0.065589354,2.3867392,264,2277,11399,32050,8993,121.4015152,34.06439394,879.850919522,2284,69152257.789,972539,800.373354039
T08-nw,0.327340274,0.112660859,0.06585705,0.807013583,0.396622793,-0.246908118,8,16.83387622,0.148131377,0.055012667,2.43568699,307,2584,13513,38436,10577,125.1986971,34.45276873,862.046491037,2164,66243392.5707,394482,766.705932531
T09-nw,0.316120963,0.099465074,0.04765314,0.827964495,0.382205467,-0.251241968,10,16.29972752,0.181375398,0.044534775,2.579218921,367,2991,15860,45899,12562,125.4071038,34.32240437,843.91820362,2448,64001036.6716,23719,740.752739254
T10-nw,0.292176039,0.082940421,0.035982165,0.837942883,0.372880467,-0.225064588,9,16.79217604,0.202666838,0.041157294,2.553760733,409,3434,18463,54076,14997,132.2151589,36.66748166,824.519418189,2698,61127539.6527,17254,707.494671906
T11-nw,0.29774146,0.091994712,0.03574839,0.856895526,0.346807143,-0.226971072,11,16.80894309,0.209802713,0.0342341,2.572366531,492,4135,20997,62427,17347,127.1425662,35.3299389,806.638291719,2633,58525371.6544,14055,677.376986741
T12-nw,0.294912449,0.090550838,0.022924531,0.862847144,0.338746813,-0.233815721,11,17.38797814,0.211262466,0.031729887,2.591131695,549,4773,24143,72651,20225,132.5748175,36.90693431,785.522854707,3264,55797400.8447,14108,645.803250517
T13-nw,0.306354228,0.083065816,0.028440893,0.865536795,0.333080825,-0.236922084,12,18.17006803,0.181273716,0.030954119,2.585472461,588,5342,27025,82491,22994,140.5298126,39.17206133,767.211484673,3031,53152538.805,4768,615.191421354
T14-nw,0.294408006,0.076889439,0.027914171,0.868555304,0.324249902,-0.238409353,12,18.69565217,0.194301677,0.029075664,2.580962973,644,6020,29896,92885,25792,144.6806854,40.17445483,749.861602744,2985,50834932.5782,7,588.367275211
T15-nw,0.275418215,0.077592993,0.018677672,0.874268817,0.31393116,-0.228050123,12,18.80055788,0.183165113,0.026257762,2.603174666,717,6740,32766,103102,28517,143.9972067,39.82821229,732.985553047,3001,48287660.8234,552,558.884963234
T16-nw,0.267323239,0.078002974,0.012160253,0.878134745,0.309178352,-0.20997765,13,18.89378238,0.19494524,0.024505554,2.641228158,772,7293,34780,109901,30322,142.3588083,39.27720207,721.123743125,2141,45808583.0084,535,530.191932968
T17-nw,0.262917625,0.079298635,0.018990888,0.883812646,0.300650941,-0.199832867,13,18.93794749,0.204807468,0.022625983,2.673050707,838,7935,37568,118962,32823,141.9594272,39.16825776,704.2589191,2914,42782857.4218,2,495.1719609
T18-nw,0.263275825,0.085546542,0.008734535,0.89001107,0.293668074,-0.19144437,14,19.10262009,0.210398064,0.02087718,2.683744635,916,8749,41192,131004,36085,143.3304158,39.48030635,683.171959097,3751,40245865.6012,0,465.808629643
T19-nw,0.261267739,0.084060358,0.007895135,0.894836286,0.290007545,-0.184070346,14,19.777332,0.1997267,0.019856759,2.698618562,997,9859,45334,145758,40295,146.0501002,40.3757515,660.435211547,4321,37629634.3279,0,435.528175092
T20-nw,0.2556995,0.082361816,0.008601115,0.898657004,0.285704835,-0.182219386,13,19.95852969,0.217388116,0.018828802,2.713177205,1061,10588,48769,157262,43497,148.5004721,41.07365439,642.52364911,3603,35252820.632,0,408.018757315
T21-nw,0.246790188,0.080383904,0.010617534,0.901956022,0.280353492,-0.178922754,15,20.15276558,0.222522652,0.017708933,2.727543806,1139,11477,52282,169716,46952,148.8736842,41.18596491,624.557269093,3685,32590461.3712,0,377.204414019
T22-nw,0.241031485,0.078912849,0.008436269,0.905400398,0.275742965,-0.175997565,13,20.45952576,0.254252319,0.016742656,2.731481697,1223,12511,56222,183766,50924,150.1356209,41.60457516,604.760034281,4088,29665602.3442,0,343.351878984
